"who","color","heading","xcor","ycor","hidden.","this.district.cand","incumbent.","valence","util.temp","position.obs.d1","position.obs.d2","position.obs.d3","position.obs.last.d1","position.obs.last.d2","position.obs.last.d3"
"43351","15","39","1.539137042","-5.045296055","TRUE","160","FALSE","0.652937195","3.159108023","1.5391370422729227","-5.0452960550081585","-1.5313451299119225","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43352","15","39","3.961626881","0.615591365","TRUE","10","FALSE","0.397983283","5.935327838","3.961626881200481","0.6155913650735463","-3.822425522312769","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43353","15","39","6.219408225","-5.981004601","TRUE","199","FALSE","1.973098886","1.689635812","6.219408225102735","-5.9810046005600945","1.6720817281704536","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43354","15","261","-2.498273104","-5.073438142","TRUE","200","FALSE","0.166971521","3.34543828","-2.4982731037781227","-5.073438142418377","-10.070264572323818","-3.339165637784398","0.8026413047822696","-3.6550284049750967"
"43355","15","39","3.288945458","0.101454701","TRUE","79","FALSE","0.303879638","8.185490962","3.2889454575584205","0.10145470136713675","-2.8153421134224543","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43356","15","39","2.312957827","-0.734173331","TRUE","94","FALSE","0.313241113","6.009757685","2.3129578268033892","-0.7341733308244742","-2.6735712859066365","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43357","15","39","7.001241352","-8.408308231","TRUE","95","FALSE","4.412536481","0.107464043","7.001241352154091","-8.408308231110118","-3.0270950409613135","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43358","15","39","7.442374067","-7.057706791","TRUE","8","FALSE","2.733953173","2.473587282","7.4423740673381245","-7.0577067905081226","3.7733505648727528","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43359","15","39","0.089701374","-3.168775625","TRUE","2","FALSE","0.531380646","5.859205971","0.08970137404614764","-3.16877562483786","-0.6233686428905626","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43360","15","39","-1.041225208","-3.106937513","TRUE","13","FALSE","0.249006421","9.158858451","-1.0412252077006103","-3.1069375130523955","0.9514728119317302","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43361","15","39","-1.001841736","-4.927587099","TRUE","120","FALSE","0.392835618","1.752852352","-1.00184173641912","-4.927587098552003","-1.3096869041633457","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43362","15","39","3.140319605","-3.535045198","TRUE","127","FALSE","0.835708581","2.050934488","3.1403196046567103","-3.5350451980575723","3.56553234164326","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43363","15","39","1.041912452","-4.05051399","TRUE","119","FALSE","0.759794408","1.265235339","1.041912451912804","-4.050513989996491","2.860578684548483","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43364","15","39","0.341568058","-3.10025299","TRUE","101","FALSE","0.355527351","2.392067194","0.34156805848819416","-3.100252990097072","0.4475072518925687","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43365","15","39","2.651685282","0.630725219","TRUE","54","FALSE","0.269451056","0.817107862","2.6516852821955585","0.6307252187764665","1.5615227542840338","0.5020116636000652","-8.151584178092092","0.3609859678620408"
"43366","105","161","-0.248364063","5.116831385","TRUE","150","FALSE","0.255921041","3.466709425","-0.24836406314805315","5.116831384514792","6.234429749742353","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43367","105","161","-4.549185369","8.40832468","TRUE","207","FALSE","0.857211943","9.932628593","-4.549185368683404","8.408324680477968","-1.4195950766134604","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43368","105","161","-4.763309497","5.210740161","TRUE","7","FALSE","2.303813659","1.557463224","-4.763309497429183","5.210740160535903","0.21594624453673372","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43369","105","161","-2.480618456","3.490851144","TRUE","56","FALSE","0.580526592","1.449085685","-2.4806184563828486","3.4908511436717657","2.1462388240590693","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43370","105","161","-2.890009263","-1.400129738","TRUE","203","FALSE","0.197919575","0.869591765","-2.8900092634995365","-1.4001297384014824","-2.057091980117338","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43371","105","161","-3.057731852","5.584604779","TRUE","4","FALSE","0.568644863","1.063186083","-3.0577318519599315","5.584604779060699","2.3200556660860006","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43372","105","161","-3.152084954","-0.013682114","TRUE","192","FALSE","0.225535513","3.818690522","-3.1520849542648395","-0.013682114094495823","-3.531501049207749","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43373","105","161","-1.31708511","0.832708189","TRUE","153","FALSE","0.368965136","4.558407625","-1.3170851098838017","0.8327081890711778","-5.287228818203768","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43374","105","161","-5.684121291","3.814061819","TRUE","135","FALSE","0.75851276","1.68553113","-5.6841212914396575","3.8140618185647","-5.4049257004606135","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43375","105","161","-3.089829161","2.07178005","TRUE","92","FALSE","0.368965136","4.558407625","-3.089829160726619","2.071780050405751","-4.555989461264111","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43376","105","161","-2.970634184","4.510459131","TRUE","122","FALSE","0.438420432","1.486373716","-2.9706341838467583","4.510459130835242","6.546776031296114","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43377","105","161","-2.600995456","0.944493913","TRUE","182","FALSE","0.428649853","1.36051342","-2.6009954557420585","0.9444939130643477","5.079260626636113","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43378","105","161","-6.24132372","5.451829572","TRUE","163","FALSE","2.118032493","5.473610738","-6.2413237199963145","5.451829571626191","4.479285431359562","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43379","105","161","-4.476423096","9.692585456","TRUE","5","FALSE","0.668992514","3.112313982","-4.476423096053767","9.692585456392862","-2.172138735113411","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43380","105","161","-5.249510034","4.591386281","TRUE","114","FALSE","1.214482303","-0.226350104","-5.249510034174701","4.591386280755887","-1.4268400406175628","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43381","105","161","-0.111305988","-2.51367891","TRUE","33","FALSE","0.200683235","0.677403414","-0.11130598786762835","-2.513678910311766","-1.207107186706688","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43382","105","161","-7.317389944","3.552246734","TRUE","113","FALSE","2.16369859","1.325049946","-7.317389943562515","3.5522467344775053","1.8450183224113528","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43383","105","161","-4.8547192","3.504296868","TRUE","178","FALSE","0.634083386","2.622453933","-4.854719199989173","3.504296868438344","1.57050143894479","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43384","105","161","-1.157724833","6.105638646","TRUE","198","FALSE","0.285752389","2.517030696","-1.1577248325409277","6.1056386461167484","5.150766708631957","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43385","105","161","-8.438149537","1.631473545","TRUE","16","FALSE","0.485203746","2.977021298","-8.438149536853144","1.631473545107146","6.651782974743324","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43386","105","161","-1.434355431","1.805422444","TRUE","77","FALSE","0.368965136","4.558407625","-1.4343554312339404","1.8054224443634181","-4.549766907396235","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43387","105","161","-6.059622182","5.104536465","TRUE","66","FALSE","2.303813659","1.557463224","-6.059622181780057","5.104536464630238","1.9960483357402834","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43388","105","161","-4.267969325","4.821611426","TRUE","81","FALSE","1.515648906","2.16499662","-4.2679693250674555","4.821611425511038","1.3347645980528364","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43389","105","161","-0.829797474","2.758348259","TRUE","201","FALSE","0.247672379","3.590505558","-0.8297974742135921","2.7583482592085637","4.8364174508910365","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43390","105","161","-3.381454287","0.609233888","TRUE","174","FALSE","0.285112311","4.642134662","-3.3814542867601065","0.6092338881019005","4.867155758286868","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43391","105","161","-4.564592932","4.363442877","TRUE","17","FALSE","0.580526592","1.449085685","-4.564592931838565","4.363442876654857","2.0086443348732095","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43392","105","161","-5.085192984","8.953968723","TRUE","193","FALSE","1.675481986","7.403869014","-5.085192983616006","8.953968722543856","-2.534460643797015","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43393","105","161","-5.221073126","6.897329995","TRUE","138","FALSE","3.213013595","-1.004047213","-5.2210731259477114","6.897329995163981","2.4328157197931572","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43394","105","161","-3.295092472","3.11643666","TRUE","112","FALSE","0.425292529","3.221165693","-3.295092471512788","3.1164366600911464","-3.740928777257895","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43395","105","161","-3.038589135","5.162226796","TRUE","21","FALSE","0.568644863","1.063186083","-3.0385891352647936","5.162226796079423","1.1571052060992102","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43396","105","161","-3.61267892","-0.432831375","TRUE","79","FALSE","0.508369446","1.13138106","-3.612678919875032","-0.4328313750867192","5.0493586902845475","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43397","105","161","-6.51840474","2.57214138","TRUE","91","FALSE","0.776487109","1.817543216","-6.51840473972179","2.572141379831348","6.628985136531547","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43398","105","161","-6.545072903","2.419901648","TRUE","61","FALSE","0.776487109","1.817543216","-6.545072903464108","2.4199016478841897","5.620823720520821","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43399","105","161","0.483356757","3.600849028","TRUE","85","FALSE","0.232642423","6.105852306","0.4833567568992547","3.600849027934455","7.591647373344425","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43400","105","161","-2.088528346","-2.421458818","TRUE","73","FALSE","0.200683235","0.677403414","-2.0885283462840967","-2.4214588184103905","-2.403833258509998","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43401","105","161","-4.858068062","8.693759298","TRUE","0","FALSE","0.857211943","9.932628593","-4.858068061663744","8.69375929773986","-0.46096881869946604","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43402","105","161","-3.508273293","-0.608583893","TRUE","46","FALSE","0.285112311","4.642134662","-3.5082732925948044","-0.6085838930605714","4.431513309718514","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43403","105","161","-1.64121843","-0.228523857","TRUE","35","FALSE","0.225535513","3.818690522","-1.6412184298856445","-0.22852385675239506","-1.3119277830039415","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43404","105","161","-4.658774408","3.08856187","TRUE","105","FALSE","1.414329811","1.865542995","-4.658774408319231","3.0885618701618784","0.24693886479891702","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43405","105","161","-2.187758915","4.384810484","TRUE","170","FALSE","0.404017223","1.792816663","-2.1877589148357863","4.384810484402518","3.0044642012431932","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43406","105","161","-0.35956715","4.377966785","TRUE","117","FALSE","0.301799418","3.270982702","-0.3595671501870459","4.3779667849012665","8.339502379996468","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43407","105","161","-3.081655107","5.229571062","TRUE","104","FALSE","0.404017223","1.792816663","-3.0816551069263762","5.229571062480156","1.3596563376852528","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43408","105","161","0.773877268","4.169427978","TRUE","72","FALSE","0.274649874","2.253539563","0.7738772676929592","4.169427978498211","3.469391881808063","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43409","105","161","-6.764450454","5.352128546","TRUE","55","FALSE","1.414329811","1.865542995","-6.764450453804248","5.352128545843364","0.7645037469894034","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43410","105","161","-3.111828059","2.089933187","TRUE","173","FALSE","0.468140439","2.504553352","-3.111828058853864","2.0899331870281435","4.203873063120522","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43411","105","161","-0.715891593","8.353434106","TRUE","132","FALSE","0.438107089","2.340820523","-0.7158915926928826","8.353434106125535","2.5433147717279394","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43412","105","161","-6.957483075","6.506927703","TRUE","45","FALSE","1.914836358","4.747324063","-6.957483075469959","6.506927702640946","4.106260360371959","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43413","105","161","-5.033034544","6.740798027","TRUE","184","FALSE","2.122812166","2.241068832","-5.033034544398555","6.740798026556316","2.8325138938175987","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43414","105","161","-7.572862241","2.503420623","TRUE","27","FALSE","0.485203746","2.977021298","-7.572862241346806","2.50342062261111","8.012213941744534","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43415","105","161","-7.053422714","3.961116738","TRUE","32","FALSE","1.399963577","1.298766334","-7.053422713715431","3.961116738076279","-4.787643549022627","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43416","105","161","-1.736745223","5.10007327","TRUE","90","FALSE","0.424849491","3.362498773","-1.7367452228533462","5.100073269924191","3.2270854251680983","-2.2960553351926536","5.286882358615311","3.6907933018081294"
"43417","105","161","-6.719345039","3.34081068","TRUE","124","FALSE","2.16369859","1.325049946","-6.719345039016654","3.3408106804807645","1.5487797617305747","-2.2960553351926536","5.286882358615311","3.6907933018081294"
