"who","color","heading","xcor","ycor","in.bounds.","adaptive.","this.district.act","pref.d1","pref.d2","pref.d3","this.act.sal.d1","this.act.sal.d2","this.act.sal.d3"
"2357","0","244","-4.3130133","-0.283092586","TRUE","TRUE","6","-4.31301330030035","-0.28309258555531647","0.5140744538226886","0.9062212608025138","0.09374965772170162","2.9081475784435618E-5"
"2358","0","103","-7.449847774","-7.394228608","TRUE","TRUE","7","-7.449847774090041","-7.394228607653615","11.500106565799332","0.3692606312426476","0.6307393687563889","9.634079086101044E-13"
"2359","0","150","-6.230543677","-1.973729852","TRUE","TRUE","7","-6.230543677063367","-1.9737298519847633","0.004656992221860445","0.29043616343701273","0.2350660280399875","0.47449780852299983"
"2360","0","284","1.902074366","-6.064763461","TRUE","TRUE","7","1.9020743664983826","-6.064763461068589","-11.34824437543477","0.2812425522668776","0.7187574451110091","2.622113120105298E-9"
"2361","0","233","-3.957385449","-5.800883092","TRUE","TRUE","7","-3.9573854487539863","-5.800883092249312","0.6318197294938515","0.5396290128319287","0.4571592551753619","0.0032117319927095446"
"2362","0","11","4.123108774","5.172261526","TRUE","TRUE","7","4.1231087741437005","5.17226152633549","5.047674320647764","0.4274146677746507","0.5613654065025799","0.011219925722769308"
"2363","0","0","-3.051670397","6.056744612","TRUE","TRUE","7","-3.0516703969970784","6.056744612204467","-0.686122158770218","0.8977092656347693","0.10226939435645782","2.134000877294318E-5"
"2364","0","232","-15.92774854","-9.30171071","TRUE","TRUE","7","-15.927748536102094","-9.301710709818792","7.486138135224538","0.8203084151391845","0.1786415424669299","0.0010500423938855734"
"2365","15","41","-16.01634335","-14.64357884","TRUE","TRUE","7","-16.016343346769197","-14.64357883523391","0.531445857050169","0.2816318696002659","0.7174864813009667","8.816490987674639E-4"
"2366","0","65","5.616266791","-14.95610587","TRUE","FALSE","7","5.616266791030874","-14.95610587094177","8.931096276941702","0.2990576162558868","0.10821495503284041","0.5927274287112729"
"2367","0","320","-9.921653776","6.079257448","TRUE","TRUE","7","-9.921653776472578","6.079257448485468","1.9142188792868582","0.8500664177124692","0.14956987414544948","3.637081420812061E-4"
"2368","0","343","-1.472769257","-10.361876","TRUE","TRUE","8","-1.4727692573640736","-10.361876004027707","-0.9733226095952324","0.2816047109867176","0.7183942344858799","1.054527402447215E-6"
"2369","105","164","5.615122969","6.657262043","TRUE","TRUE","8","5.61512296884363","6.657262042943655","3.449436972431199","0.2834311749554786","0.7068641465769091","0.009704678467612379"
"2370","105","263","-4.475775243","6.081060248","TRUE","TRUE","8","-4.4757752429383055","6.081060247646796","0.7122163859697047","0.7143029036475024","0.2830281070177422","0.0026689893347555333"
"2371","0","320","0.83385104","6.407959313","TRUE","TRUE","8","0.8338510404677297","6.407959313483386","9.802798294218817","0.3788484265691578","0.1337710246091935","0.48738054882164866"
"2372","0","238","12.67365172","4.71749395","TRUE","TRUE","8","12.673651719807765","4.717493950098499","-6.74692802881995","0.28116056967511616","0.7188394256944656","4.63041841541322E-9"
"2373","105","200","-4.898486019","7.753549001","TRUE","TRUE","8","-4.898486019375067","7.753549001122735","2.480031201590404","0.2809584833435336","0.7152352847478922","0.0038062319085739936"
"2374","0","147","-10.62449198","15.39612487","TRUE","TRUE","8","-10.624491976112838","15.396124869416193","7.0073573922506425","0.4556095720656072","0.5390665902801552","0.005323837654237546"
"2375","0","346","-8.929256867","-0.964162683","TRUE","TRUE","8","-8.929256866770746","-0.9641626832177339","1.6113744651935005","0.31504565585737065","0.6849527012041352","1.6429384940868527E-6"
"2376","0","79","-5.510056532","8.496031604","TRUE","TRUE","8","-5.510056531934045","8.496031604193668","-6.413204204128867","0.5626424046291395","0.43735759532648216","4.43783550940358E-11"
"2377","105","92","-7.763262418","3.566538021","TRUE","TRUE","8","-7.763262418260608","3.5665380206171995","0.2308693995681308","0.3144813240288885","0.6855186759709508","1.6057971963530365E-13"
"2378","0","235","-0.705831472","-7.454889271","TRUE","TRUE","9","-0.7058314717754031","-7.454889270909042","4.944005967152348","0.4464475010077777","0.06152245217403757","0.49203004681818474"
